Test suit;TC- ID;Name /Title;preconditions;Steps to be Executed;Test Data;Expected Results;Actual Result;priority;status;Requirement Traceabilty;Test Type
NEGATIVE;FACEBOOK_ADDPOST_NEG_018;Verify when user set post privacy to friends expect, the expected friends cannot see the post;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- change the privacy to Friends expect ""Menna Hossam"" 
7-click on""Post""button";"""Hello""";Post should not be viewed by expected friends;Post should not be viewed by expected friends;High;Pass;FR 1: Add Post;Manual
NEGATIVE;FACEBOOK_ADDPOST_NEG_019;Verify when user set post privacy to specific friends, other friends cannot see the post;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- change the privacy  
7-click on""Post""button0";"""Hello""";Post should be viewed by some friends only;Post should be viewed by some friends only;High;Pass;FR 1: Add Post;Manual
NEGATIVE;FACEBOOK_ADDPOST_NEG_020;Verify when user set post privacy to only me, nobody can see the post;App is Installed and Opened;"1-Application opened Successfully
2-Create account and Login
3-HomePage Opened successfully
4-click on""What,s on Your mind ?""
5-Go to the field of writing a post
6- change the privacy to Only Me
7-click on""Post""button";"""Hello""";Post should be viewed by Only Me;Post should be viewed by Only Me;High;Pass;FR 1: Add Post;Manual
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
